Referee;From;To;Rank;RequiredRank;RankDiff;TravelDistance;TravelTime;TravelFrom;TravelTo;TravelFromHome
Referee 28;03.03.2025 12:28;03.03.2025 14:28;51;54;3;0;0;49,08300° N, 14,43530° E;49,08300° N, 14,43530° E;True
Referee 12;03.03.2025 16:14;03.03.2025 18:14;85;87;2;43.91;0.51;50,07370° N, 12,37300° E;50,23190° N, 12,87170° E;True
Referee 2;03.03.2025 18:46;03.03.2025 20:46;62;48;14;0;0;50,24100° N, 12,87100° E;50,24100° N, 12,87100° E;True
Referee 23;03.03.2025 19:49;03.03.2025 21:49;30;16;14;0;0;49,22640° N, 17,67070° E;49,22640° N, 17,67070° E;True
Referee 28;04.03.2025 08:07;04.03.2025 10:07;51;25;26;0;0;49,08300° N, 14,43530° E;49,08300° N, 14,43530° E;True
Referee 18;04.03.2025 10:43;04.03.2025 12:43;69;58;11;52.98;0.81;49,94800° N, 17,90700° E;49,68330° N, 18,35000° E;True
Referee 30;04.03.2025 12:35;04.03.2025 14:35;94;85;9;0;0;49,96400° N, 16,97000° E;49,96400° N, 16,97000° E;True
Referee 9;04.03.2025 12:36;04.03.2025 14:36;51;52;1;0;0;49,96400° N, 16,97000° E;49,96400° N, 16,97000° E;True
Referee 5;04.03.2025 13:54;04.03.2025 15:54;90;99;9;43.91;0.51;50,07370° N, 12,37300° E;50,23190° N, 12,87170° E;True
Referee 20;04.03.2025 14:23;04.03.2025 16:23;92;100;8;126.25;1.91;49,39610° N, 15,59120° E;49,08300° N, 14,43530° E;True
Referee 34;04.03.2025 14:31;04.03.2025 16:31;93;77;16;132.61;2.32;49,74750° N, 13,37760° E;49,08300° N, 14,43530° E;True
Referee 28;04.03.2025 14:34;04.03.2025 16:34;51;46;5;0;0;49,08300° N, 14,43530° E;49,08300° N, 14,43530° E;True
Referee 4;04.03.2025 15:00;04.03.2025 17:00;34;17;17;0;0;49,45850° N, 17,13800° E;49,45850° N, 17,13800° E;True
Referee 23;04.03.2025 18:10;04.03.2025 20:10;30;24;6;30.31;0.62;49,22640° N, 17,67070° E;49,06800° N, 17,45900° E;True
Referee 11;04.03.2025 19:13;04.03.2025 21:13;76;83;7;46.77;0.88;49,94800° N, 17,90700° E;49,59400° N, 18,01000° E;True
Referee 20;05.03.2025 08:14;05.03.2025 10:14;92;95;3;126.25;1.91;49,39610° N, 15,59120° E;49,08300° N, 14,43530° E;True
Referee 30;05.03.2025 08:37;05.03.2025 10:37;94;82;12;0;0;49,96400° N, 16,97000° E;49,96400° N, 16,97000° E;True
Referee 17;05.03.2025 08:39;05.03.2025 10:39;68;75;7;51.62;0.97;50,68550° N, 14,53760° E;50,66070° N, 14,03230° E;True
Referee 21;05.03.2025 10:10;05.03.2025 12:10;40;42;2;74.32;0.97;49,45850° N, 17,13800° E;49,96400° N, 16,97000° E;True
Referee 15;05.03.2025 11:54;05.03.2025 13:54;94;95;1;46.95;0.62;49,45850° N, 17,13800° E;49,14450° N, 16,87800° E;True
Referee 29;05.03.2025 12:21;05.03.2025 14:21;69;37;32;37.11;0.6;49,94800° N, 17,90700° E;49,82090° N, 18,26250° E;True
Referee 2;05.03.2025 12:50;05.03.2025 14:50;62;55;7;2.12;0.06;50,24100° N, 12,87100° E;50,23190° N, 12,87170° E;True
Referee 9;05.03.2025 13:27;05.03.2025 15:27;51;51;0;0;0;49,96400° N, 16,97000° E;49,96400° N, 16,97000° E;True
Referee 17;05.03.2025 13:47;05.03.2025 15:47;68;56;12;0;0;50,66070° N, 14,03230° E;50,66070° N, 14,03230° E;False
Referee 5;05.03.2025 14:04;05.03.2025 16:04;90;92;2;43.91;0.51;50,07370° N, 12,37300° E;50,23190° N, 12,87170° E;True
Referee 34;05.03.2025 15:12;05.03.2025 17:12;93;71;22;132.61;2.32;49,74750° N, 13,37760° E;49,08300° N, 14,43530° E;True
Referee 26;05.03.2025 15:23;05.03.2025 17:23;63;72;9;106.08;1.93;49,96400° N, 16,97000° E;50,20920° N, 15,83280° E;True
Referee 18;05.03.2025 15:43;05.03.2025 17:43;69;55;14;0;0;49,94800° N, 17,90700° E;49,94800° N, 17,90700° E;True
Referee 20;05.03.2025 16:52;05.03.2025 18:52;92;75;17;135.91;1.91;49,08300° N, 14,43530° E;49,39610° N, 15,59120° E;False
Referee 13;05.03.2025 17:31;05.03.2025 19:31;61;63;2;30.31;0.62;49,22640° N, 17,67070° E;49,06800° N, 17,45900° E;True
Referee 2;05.03.2025 17:35;05.03.2025 19:35;62;34;28;0;0;50,23190° N, 12,87170° E;50,23190° N, 12,87170° E;False
Referee 9;05.03.2025 18:09;05.03.2025 20:09;51;48;3;0;0;49,96400° N, 16,97000° E;49,96400° N, 16,97000° E;True
Referee 30;06.03.2025 11:00;06.03.2025 13:00;94;74;20;0;0;49,96400° N, 16,97000° E;49,96400° N, 16,97000° E;True
Referee 25;06.03.2025 11:35;06.03.2025 13:35;46;48;2;19.53;0.33;49,45850° N, 17,13800° E;49,59380° N, 17,25090° E;True
Referee 34;06.03.2025 13:17;06.03.2025 15:17;93;72;21;132.61;2.32;49,74750° N, 13,37760° E;49,08300° N, 14,43530° E;True
Referee 20;06.03.2025 17:57;06.03.2025 19:57;92;93;1;141.53;2.26;49,39610° N, 15,59120° E;50,43700° N, 15,35100° E;True
Referee 19;06.03.2025 18:18;06.03.2025 20:18;62;63;1;3.42;0.13;49,45850° N, 17,13800° E;49,47100° N, 17,11100° E;True
Referee 28;06.03.2025 18:28;06.03.2025 20:28;51;49;2;135.91;1.91;49,08300° N, 14,43530° E;49,39610° N, 15,59120° E;True
Referee 22;06.03.2025 18:36;06.03.2025 20:36;100;98;2;29.94;0.57;49,45850° N, 17,13800° E;49,30000° N, 17,39300° E;True
